stdname,sysname
Uncharacterized,YGR164W
MTC4,YBR255W
PET8,YNL003C
FHN1,YGR131W
IML2,YJL082W
CDC28,YBR160W
CKS1,YBR135W
FUN14,YAL008W
Uncharacterized,YPL191C
CLG1,YGL215W
MUD2,YKL074C
Uncharacterized,YNL170W
Uncharacterized,YPL039W
Uncharacterized,YJL142C
AYR1,YIL124W
ICS3,YJL077C
HUL5,YGL141W
Uncharacterized,YKL083W
THR1,YHR025W
ASK1,YKL052C
TIR4,YOR009W
PFD1,YJL179W
ATG29,YPL166W
MAE1,YKL029C
MSN1,YOL116W
HIR1,YBL008W
SMC5,YOL034W
CAB5,YDR196C
PPG1,YNR032W
GIS2,YNL255C
Uncharacterized,YCL023C
ARC15,YIL062C
PET494,YNR045W
SEC65,YML105C
RCF2,YNR018W
Uncharacterized,YIL059C
BNA6,YFR047C
BET1,YIL004C
CAF40,YNL288W
POC4,YPL144W
Uncharacterized,YJR115W
Uncharacterized,YHR078W
ILV5,YLR355C
HTA2,YBL003C
TEL2,YGR099W
EXO1,YOR033C
EXG1,YLR300W
HIR3,YJR140C
QDR3,YBR043C
Uncharacterized,YHR112C
Uncharacterized,YOR062C
NFT1,YKR103W
ERG11,YHR007C
Uncharacterized,YER121W
LOT6,YLR011W
HBS1,YKR084C
Uncharacterized,YNL144C
EAP1,YKL204W
IMG1,YCR046C
OPT2,YPR194C
ROK1,YGL171W
PNT1,YOR266W
SHE9,YDR393W
UGA1,YGR019W
JLP1,YLL057C
Uncharacterized,YNL208W
BUD19,YJL188C
PHO89,YBR296C
MET2,YNL277W
YET2,YMR040W
RSN1,YMR266W
SED1,YDR077W
RLM1,YPL089C
TRS23,YDR246W
CYB2,YML054C
CAB4,YGR277C
FEN2,YCR028C
MPD1,YOR288C
SCM3,YDL139C
OAF3,YKR064W
Uncharacterized,YGR259C
Uncharacterized,YLR179C
GLE2,YER107C
HSP32,YPL280W
ARP8,YOR141C
CHS2,YBR038W
RNA15,YGL044C
SRO77,YBL106C
TIF6,YPR016C
MRPL39,YML009C
ASP3-2,YLR157C
FRD1,YEL047C
TCB3,YML072C
PEX7,YDR142C
PSA1,YDL055C
OTU1,YFL044C
Uncharacterized,YBR116C
URA2,YJL130C
RAM2,YKL019W
PAL1,YDR348C
STN1,YDR082W
BOI1,YBL085W
SEC5,YDR166C
FAS1,YKL182W
SQT1,YIR012W
NMD4,YLR363C
CSN9,YDR179C
Uncharacterized,YML089C
ATG23,YLR431C
RQC1,YDR333C
SMA1,YPL027W
PET10,YKR046C
NCA3,YJL116C
NPA3,YJR072C
GAP1,YKR039W
APL1,YJR005W
SRB2,YHR041C
CHZ1,YER030W
CDH1,YGL003C
HEM12,YDR047W
CYK3,YDL117W
RQC2,YPL009C
HER2,YMR293C
RRB1,YMR131C
SLM1,YIL105C
IME4,YGL192W
HXT8,YJL214W
MSW1,YDR268W
RMR1,YGL250W
CPA2,YJR109C
NDL1,YLR254C
ERG13,YML126C
NGR1,YBR212W
MCM10,YIL150C
ATG26,YLR189C
Uncharacterized,YLR349W
SYH1,YPL105C
RPL11b,YGR085C
LYS5,YGL154C
ENP2,YGR145W
Uncharacterized,YKL177W
TIR2,YOR010C
CLD1,YGR110W
GDH2,YDL215C
UTP11,YKL099C
Uncharacterized,YNR066C
CST9,YLR394W
IPK1,YDR315C
PIG2,YIL045W
CCC1,YLR220W
RPC31,YNL151C
LEU4,YNL104C
FUS2,YMR232W
SAL1,YNL083W
SNU13,YEL026W
DIP5,YPL265W
TGL5,YOR081C
HER1,YOR227W
CCA1,YER168C
DFG5,YMR238W
Uncharacterized,YGR050C
FAL1,YDR021W
PUS2,YGL063W
PUS1,YPL212C
IMA2,YOL157C
NOP58,YOR310C
Uncharacterized,YOR345C
SYT1,YPR095C
CCT6,YDR188W
SAW1,YAL027W
MTO1,YGL236C
NSG1,YHR133C
KCS1,YDR017C
ICE2,YIL090W
YPC1,YBR183W
RRT8,YOL048C
Uncharacterized,YCR007C
BRR1,YPR057W
YEA4,YEL004W
Uncharacterized,YLL032C
Uncharacterized,YGR290W
MRPL1,YDR116C
KIN1,YDR122W
BFR2,YDR299W
Uncharacterized,YLR030W
Uncharacterized,YNL234W
APM4,YOL062C
CDC6,YJL194W
IRC10,YOL015W
YRF1-5,YLR467W
ERG3,YLR056W
MET7,YOR241W
BDF2,YDL070W
QRI5,YLR204W
KTI12,YKL110C
Uncharacterized,YPR039W
MEH1,YKR007W
VPS9,YML097C
Uncharacterized,YDL096C
SAF1,YBR280C
EGD2,YHR193C
SWT21,YNL187W
RIO1,YOR119C
Uncharacterized,YMR141C
EMC6,YLL014W
ATP1,YBL099W
RAD26,YJR035W
IAH1,YOR126C
MSS1,YMR023C
Uncharacterized,YBL062W
KAP104,YBR017C
Uncharacterized,YOR199W
ORC4,YPR162C
TRS65,YGR166W
RPF1,YHR088W
Uncharacterized,YCR061W
RGC1,YPR115W
ENT1,YDL161W
Uncharacterized,YKL050C
HIT1,YJR055W
AGX1,YFL030W
MRP7,YNL005C
LSG1,YGL099W
RSA1,YPL193W
RPI1,YIL119C
Uncharacterized,YGL217C
Uncharacterized,YLR379W
Uncharacterized,YJL144W
HSL7,YBR133C
HOM6,YJR139C
PRY1,YJL079C
TOS1,YBR162C
AAD14,YNL331C
APC1,YNL172W
AHA1,YDR214W
CKB1,YGL019W
CDC60,YPL160W
Uncharacterized,YGR201C
FAP1,YNL023C
Uncharacterized,YNL058C
STH1,YIL126W
Uncharacterized,YOL036W
YNG1,YOR064C
IRA2,YOL081W
MRPL27,YBR282W
SME1,YOR159C
ARO2,YGL148W
ATP14,YLR295C
MTG2,YHR168W
MSS116,YDR194C
Uncharacterized,YFR045W
ALG12,YNR030W
INP51,YIL002C
Uncharacterized,YKL076C
PTH4,YOL114C
PKH3,YDR466W
SIP3,YNL257C
NSR1,YGR159C
RRT5,YFR032C
MF(ALPHA)2,YGL089C
LCP5,YER127W
SHE10,YGL228W
RSC2,YLR357W
DCP2,YNL118C
STE24,YJR117W
MEU1,YLR017W
Uncharacterized,YCL068C
ERP5,YHR110W
PAU21,YOR394W
FAT1,YBR041W
ACH1,YBL015W
ATP4,YPL078C
PRM7,YDL039C
BOR1,YNL275W
Uncharacterized,YKL202W
FRE5,YOR384W
DSE3,YOR264W
UBR1,YGR184C
FRE6,YLL051C
ADE1,YAR015W
Uncharacterized,YOR366W
SXM1,YDR395W
SIC1,YLR079W
BLS1,YLR408C
UTP15,YMR093W
CCP1,YKR066C
PRP24,YMR268C
Uncharacterized,YOR169C
PET100,YDR079W
NOT5,YPR072W
DAK1,YML070W
ILV2,YMR108W
KIN82,YCR091W
PEX5,YDR244W
Uncharacterized,YER189W
GPP2,YER062C
Uncharacterized,YJL009W
ARF2,YDL137W
SLH1,YGR271W
RTN1,YDR233C
ENV11,YGR071C
Uncharacterized,YBL100C
RDS1,YCR106W
SLD5,YDR489W
PAU22,YPL282C
Uncharacterized,YDL057W
Uncharacterized,YPR014C
Uncharacterized,YLR122C
Uncharacterized,YEL045C
ASP3-1,YLR155C
RVB2,YPL235W
RPL23a,YBL087C
Uncharacterized,YJL132W
MKC7,YDR144C
OST2,YOR103C
CDC55,YGL190C
ALG1,YBR110W
FMP32,YFL046W
RPS17b,YDR447C
BDH2,YAL061W
CMC1,YKL137W
Uncharacterized,YNL324W
ASN1,YPR145W
ECM23,YPL021W
GPI8,YDR331W
MRPL8,YJL063C
DSN1,YIR010W
UIP5,YKR044W
IMD4,YML056C
CNA1,YLR433C
AVO2,YMR068W
RRP42,YDL111C
DOG2,YHR043C
FIR1,YER032W
LIA1,YJR070C
COG7,YGL005C
Uncharacterized,YFL068W
REC114,YMR133W
TFC8,YPL007C
RCN1,YKL159C
FES1,YBR101C
UBC5,YDR059C
VPS33,YLR396C
IMA5,YJL216C
ISW1,YBR245C
ERV15,YBR210W
FMP30,YPL103C
DPH1,YIL103W
Uncharacterized,YJR096W
Uncharacterized,YIL152W
MDM10,YAL010C
SKN1,YGR143W
SHY1,YGR112W
HAP1,YLR256W
Uncharacterized,YOR012W
ENO2,YHR174W
RPP1,YHR062C
NOP6,YDL213C
SNM1,YDR478W
HIM1,YDR317W
Uncharacterized,YKL097C
INP52,YNL106C
AMF1,YOR378W
GSY1,YFR015C
Uncharacterized,YIL092W
SFH1,YLR321C
RPS10b,YMR230W
FMP48,YGR052W
COS5,YJR161C
Uncharacterized,YAL066W
MKT1,YNL085W
HEM4,YOR278W
SRP72,YPL210C
DUO1,YGL061C
YVC1,YOR087W
PYK2,YOR347C
"ADE5,7",YGL234W
HPF1,YOL155C
MYO4,YAL029C
ASR1,YPR093C
TFG1,YGR186W
ARO80,YDR421W
YCK1,YHR135C
DPL1,YDR294C
Uncharacterized,YDR015C
BUD21,YOR078W
PUS7,YOR243C
RPS6b,YBR181C
PAH1,YMR165C
CIT2,YCR005C
SEC8,YPR055W
PUT2,YHR037W
YRF1-3,YGR296W
RAD5,YLR032W
RRT7,YLL030C
Uncharacterized,YDR114C
RIB1,YBL033C
RPL19b,YBL027W
MAM3,YOL060C
Uncharacterized,YLL065W
Uncharacterized,YBR099C
RXT3,YDL076C
CSL4,YNL232W
Uncharacterized,YOR225W
Uncharacterized,YLR465C
RLP24,YLR009W
OSW2,YLR054C
Uncharacterized,YBR209W
AIM7,YDR063W
SOP4,YJL192C
Uncharacterized,YOR292C
TRM1,YDR120C
SNU23,YDL098C
Uncharacterized,YLR202C
RPM2,YML091C
SEN2,YLR105C
CTF8,YHR191C
ERG28,YER044C
Uncharacterized,YDR278C
Uncharacterized,YKR005C
RPS16a,YMR143W
SRP1,YNL189W
POF1,YCL047C
NAB2,YGL122C
BUD31,YCR063W
ERP3,YDL018C
GPH1,YPR160W
Uncharacterized,YNL303W
TMA19,YKL056C
Uncharacterized,YPL068C
Uncharacterized,YDL163W
Uncharacterized,YGR160W
GAL10,YBR019C
YEL1,YBL060W
CDC8,YJR057W
NCS6,YGL211W
Uncharacterized,YFL032W
MGR1,YCL044C
SIS1,YNL007C
FBP1,YLR377C
ECM1,YAL059W
PPT2,YPL148C
MET5,YJR137C
MAC1,YMR021C
SDD2,YMR074C
PIN2,YOR104W
Uncharacterized,YJR039W
LSM6,YDR378C
Uncharacterized,YDL158C
CDC4,YFL009W
Uncharacterized,YLR297W
Uncharacterized,YLR279W
ADR1,YDR216W
HDA1,YNL021W
QDR1,YIL120W
RRP46,YGR095C
FUS1,YCL027W
YHI9,YHR029C
POP5,YAL033W
MRPS12,YNR036C
Uncharacterized,YBR284W
NRD1,YNL251C
MSO1,YNR049C
NUP42,YDR192C
MSB4,YOL112W
ZDS2,YML109W
ATG34,YOL083W
Uncharacterized,YBR266C
UTP20,YBL004W
ARL1,YBR164C
KTR6,YPL053C
Uncharacterized,YIL055C
QNS1,YHR074W
SPP41,YDR464W
MET10,YFR030W
CCZ1,YBR131W
DHR2,YKL078W
DRN1,YGR093W
Uncharacterized,YNR014W
RSP5,YER125W
Uncharacterized,YER152C
BRE2,YLR015W
NIT3,YLR351C
COX23,YHR116W
APM1,YPL259C
BSC1,YDL037C
SIR3,YLR442C
ECM34,YHL043W
CBP2,YHL038C
Uncharacterized,YOR364W
PHR1,YOR386W
NCB2,YDR397C
SGE1,YPR198W
WAR1,YML076C
Uncharacterized,YLL053C
SNX41,YDR425W
Uncharacterized,YOR331C
UTP30,YKR060W
NPL6,YMR091C
"ARG5,6",YER069W
PRE1,YER012W
RDI1,YDL135C
CDC39,YCR093W
Uncharacterized,YGR273C
TAT1,YBR069C
PAU3,YCR104W
ENA1,YDR040C
SFB3,YHR098C
HEM2,YGL040C
COQ6,YGR255C
SUI3,YPL237W
LHP1,YDL051W
SFT2,YBL102W
Uncharacterized,YPR012W
YPS1,YLR120C
FKH2,YNL068C
Uncharacterized,YEL043W
Uncharacterized,YJL169W
SWI5,YDR146C
CYC8,YBR112C
Uncharacterized,YBL081W
Uncharacterized,YFL040W
HTB2,YBL002W
PFA3,YNL326C
MRPS28,YDR337W
Uncharacterized,YPR147C
APT2,YDR441C
COX20,YDR231C
MDV1,YJL112W
NUP82,YJL061W
MET12,YPL023C
Uncharacterized,YKL131W
SEC62,YPL094C
SML1,YML058W
CDC11,YJR076C
APE2,YKL157W
COQ1,YBR003W
Uncharacterized,YNL193W
Uncharacterized,YER034W
Uncharacterized,YFL066C
NTC20,YBR188C
BRP1,YGL007W
AEP3,YPL005W
RPL37a,YLR185W
GID8,YMR135C
ENP1,YBR247C
ATG20,YDL113C
SCD6,YPR129W
PEX2,YJL210W
AUR1,YKL004W
GSY2,YLR258W
PTP2,YOR208W
PEP4,YPL154C
IMP2',YIL154C
ELP4,YPL101W
SKI2,YLR398C
XBP1,YIL101C
THI13,YDL244W
YFT2,YDR319C
Uncharacterized,YJR098C
Uncharacterized,YJR018W
FMO1,YHR176W
YJU2,YKL095W
Uncharacterized,YDL211C
Uncharacterized,YBR178W
LEU3,YLR451W
Uncharacterized,YNR077C
Uncharacterized,YOL099C
MRP13,YGR084C
IGD1,YFR017C
SEC28,YIL076W
PEX15,YOL044W
LYS12,YIL094C
OST3,YOR085W
Uncharacterized,YGR054W
Uncharacterized,YGR114C
CWC24,YLR323C
TCB2,YNL087W
EST2,YLR318W
RPA190,YOR341W
Uncharacterized,YOR050C
HXT16,YJR158W
MHR1,YDR296W
TAN1,YGL232W
VPS62,YGR141W
GDT1,YBR187W
Uncharacterized,YAR030C
NVJ2,YPR091C
ARO9,YHR137W
GAL1,YBR020W
INP2,YMR163C
PAU12,YGR294W
Uncharacterized,YEL008W
HXT7,YDR342C
Uncharacterized,YLL067C
MRPL32,YCR003W
CIK1,YMR198W
RIB2,YOL066C
SWF1,YDR126W
RRN10,YBL025W
Uncharacterized,YDR112W
PCL6,YER059W
RAD53,YPL153C
Uncharacterized,YPL216W
CDC73,YLR418C
TRS130,YMR218C
ERG7,YHR072W
BRE1,YDL074C
RPS22a,YJL190C
DSC3,YOR223W
IST1,YNL265C
GEA2,YEL022W
Uncharacterized,YLR463C
FLO5,YHR211W
Uncharacterized,YDR445C
LDB18,YLL049W
FET3,YMR058W
MHP1,YJL042W
RPL18b,YNL301C
MRP2,YPR166C
ELA1,YNL230C
RIX1,YHR197W
SNF2,YOR290C
APN1,YKL114C
Uncharacterized,YDR061W
RPS17a,YML024W
PMP3,YDR276C
UTP14,YML093W
YKE2,YLR200W
APL2,YKL135C
Uncharacterized,YPL278C
OSH6,YKR003W
REX3,YLR107W
Uncharacterized,YMR321C
TMT1,YER175C
Uncharacterized,YDL183C
SHH3,YMR118C
Uncharacterized,YCL049C
STB3,YDR169C
SGT1,YOR057W
SEF1,YBL066C
RMD9,YGL107C
RPN7,YPR108W
Uncharacterized,YLR169W
SCS7,YMR272C
CDC36,YDL165W
TIF4631,YGR162W
IDP3,YNL009W
DEF1,YKL054C
URC2,YDR520C
OSM1,YJR051W
Uncharacterized,YKL023W
MIL1,YFL034W
MCM22,YJR135C
Uncharacterized,YJR037W
CRZ1,YNL027W
GCD7,YLR291C
SKI8,YGL213C
TDA10,YGR205W
PDS5,YMR076C
Uncharacterized,YDR210W
POG1,YIL122W
ASK10,YGR097W
HMF1,YER057C
THG1,YGR024C
PTP1,YDL230W
RSM7,YJR113C
YVH1,YIR026C
SEC6,YIL068C
AGP1,YCL025C
Uncharacterized,YOL085C
SOL1,YNR034W
POP3,YNL282W
ROG1,YGL144C
TEX1,YNL253W
RVB1,YDR190C
LDB7,YBL006C
GIP4,YAL031C
YPT10,YBR264C
MRPL28,YDR462W
CLB1,YGR108W
TYR1,YBR166C
Uncharacterized,YPL197C
SWC5,YBR231C
RGI2,YIL057C
RPA34,YJL148W
RPL40a,YIL148W
MSP1,YGR028W
BUD8,YLR353W
BZZ1,YHR114W
ACC1,YNR016C
CDC26,YFR036W
LGE1,YPL055C
SPI1,YER150W
URH1,YDR400W
CTR9,YOL145C
CHS6,YJL099W
Uncharacterized,YDL068W
MDM38,YOL027C
PRM1,YNL279W
Uncharacterized,YPL257W
VPS30,YPL120W
PRE10,YOR362C
GLC8,YMR311C
MAF1,YDR005C
BUB1,YGR188C
SHR5,YOL110W
SKG6,YHR149C
URA7,YBL039C
Uncharacterized,YHL041W
Uncharacterized,YML003W
PBP4,YDL053C
CUS2,YNL286W
TFA2,YKR062W
Uncharacterized,YER010C
MTG1,YMR097C
Uncharacterized,YLR126C
FPR3,YML074C
HOM2,YDR158W
GPR1,YDL035C
Uncharacterized,YCR102C
SRF1,YDL133W
Uncharacterized,YMR253C
HXT5,YHR096C
CDC31,YOR257W
Uncharacterized,YGR228W
Uncharacterized,YDR042C
Uncharacterized,YDR467C
THP3,YPR045C
Uncharacterized,YEL014C
PUP2,YGR253C
PRP38,YGR075C
SMT3,YDR510W
SWC4,YGR002C
PEP3,YLR148W
FAS2,YPL231W
RPA135,YPR010C
PSO2,YMR137C
RPL13a,YDL082W
RSM22,YKL155C
LAM5,YFL042C
Uncharacterized,YBL083C
PNG1,YPL096W
MSN5,YDR335W
KGD2,YDR148C
SSN2,YDR443C
RGS2,YOR107W
Uncharacterized,YJL067W
KAR3,YPR141C
SUB1,YMR039C
DUG3,YNL191W
Uncharacterized,YFL064C
DIF1,YLR437C
OCA4,YCR095C
PAT1,YCR077C
MRPL7,YDR237W
GZF3,YJL110C
SOF1,YLL011W
NAP1,YKR048C
ULA1,YPL003W
NTH2,YBR001C
SLD2,YKL108W
MOG1,YJR074W
IME1,YJR094C
NOP14,YDL148C
Uncharacterized,YPR127W
Uncharacterized,YBR241C
UBP7,YIL156W
HSH155,YMR288W
CYS3,YAL012W
SKG3,YLR187W
OPT1,YJL212C
PRM4,YPL156C
RFA2,YNL312W
BMH2,YDR099W
PXA2,YKL188C
Uncharacterized,YKL133C
MBR1,YKL093W
NMD3,YHR170W
ESP1,YGR098C
YAP6,YDR259C
NUP100,YKL068W
MIX17,YMR002W
VPS63,YLR261C
CBC2,YPL178W
SOR2,YDL246C
Uncharacterized,YOL046C
BMT5,YIL096C
SER3,YER081W
Uncharacterized,YPR202W
MIC19,YFR011C
NBP1,YLR457C
TMC1,YOR052C
ALG2,YGL065C
MPA43,YNL249C
RSC1,YGR056W
Uncharacterized,YHL008C
SER33,YIL074C
Uncharacterized,YBR012C
CSS3,YOL159C
Uncharacterized,YGL230C
SPT6,YGR116W
MBA1,YBR185C
OPY1,YBR129C
Uncharacterized,YOR343C
Uncharacterized,YDR290W
GCV1,YDR019C
Uncharacterized,YIR042C
TBS1,YBR150C
VBA5,YKR105C
AVT6,YER119C
LCD1,YDR499W
CTR86,YCR054C
SNO4,YMR322C
Uncharacterized,YMR196W
MMP1,YLL061W
RAD30,YDR419W
MCM2,YBL023C
THI6,YPL214C
FOB1,YDR110W
Uncharacterized,YGL165C
MET22,YOL064C
MCT1,YOR221C
MOD5,YOR274W
Uncharacterized,YHR213W
Uncharacterized,YDR124W
SCD5,YOR329C
SSL1,YLR005W
TIM17,YJL143W
PIK1,YNL267W
Uncharacterized,YLR050C
PAU4,YLR461W
MCK1,YNL307C
OCA6,YDR067C
Uncharacterized,YOR296W
GYP6,YJL044C
MMS1,YPR164W
PRB1,YEL060C
Uncharacterized,YLR101C
Uncharacterized,YDR274C
RPS18b,YML026C
IVY1,YDR229W
POA1,YBR022W
INH1,YDL181W
GSF2,YML048W
UBA3,YPR066W
PRX1,YBL064C
BMH1,YER177W
STP2,YHR006W
RRN9,YMR270C
MCH2,YKL221W
SCS3,YGL126W
RPS31,YLR167W
GSP1,YLR293C
ECM22,YLR228C
BFA1,YJR053W
TOH1,YJL171C
PHO92,YDR374C
MAK11,YKL021C
VID22,YLR373C
NRP1,YDL167C
VPS1,YKR001C
RPS29a,YLR388W
DYN1,YKR054C
LYS1,YIR034C
PDR1,YGL013C
MOT3,YMR070W
TCP1,YDR212W
Uncharacterized,YLR456W
ASP1,YDR321W
CIR1,YGR207C
COX5a,YNL052W
Uncharacterized,YGL188C
SSN8,YNL025C
PRP31,YGR091W
ICY1,YMR195W
OST4,YDL232W
DBP1,YPL119C
DUF1,YOL087C
Uncharacterized,YNL134C
ARV1,YLR242C
BAT2,YJR148W
Uncharacterized,YEL010W
MMF1,YIL051C
Uncharacterized,YCR051W
MIC12,YBR262C
Uncharacterized,YPL199C
RPO41,YFL036W
Uncharacterized,YAL037W
CWC2,YDL209C
RRT6,YGL146C
CSE2,YNR010W
TRM5,YHR070W
ESF1,YDR365C
CDA2,YLR308W
PSD1,YNL169C
PHO4,YFR034C
SUR1,YPL057C
TFB3,YDR460W
UPS1,YLR193C
DBP2,YNL112W
PDE2,YOR360C
ALA1,YOR335C
HFM1,YGL251C
ARN2,YHL047C
Uncharacterized,YER156C
BBP1,YPL255W
TRP1,YDR007W
UTR4,YEL038W
BUD3,YCL014W
RKI1,YOR095C
LAG2,YOL025W
ERG24,YNL280C
PEX11,YOL147C
RKM1,YPL208W
Uncharacterized,YPR089W
PBP2,YBR233W
Uncharacterized,YDL086W
COG2,YGR120C
TOS3,YGL179C
POT1,YIL160C
TFB2,YPL122C
TGL3,YMR313C
Uncharacterized,YLR124W
YPT7,YML001W
TPO1,YLL028W
BIM1,YER016W
SED5,YLR026C
THI74,YDR438W
MRX7,YNL211C
ARP3,YJR065C
HXT1,YHR094C
SNO1,YMR095C
SLM3,YDL033C
GFD1,YMR255W
CRG1,YHR209W
BRR6,YGL247W
Uncharacterized,YCR100C
EMI2,YDR516C
NPP2,YEL016C
NOP19,YGR251W
HEM13,YDR044W
YGK3,YOL128C
OSW1,YOR255W
MAS2,YHR024C
MSF1,YPR047W
Uncharacterized,YOR200W
NSL1,YPL233W
CBP3,YPL215W
RIM11,YMR139W
Uncharacterized,YNL296W
Uncharacterized,YOR105W
Uncharacterized,YKL153W
Uncharacterized,YDR541C
YRM1,YOR172W
Uncharacterized,YFL019C
SHP1,YBL058W
WHI3,YNL197C
RPS6a,YPL090C
RRP15,YPR143W
COS4,YFL062W
KRE1,YNL322C
Uncharacterized,YDR340W
Uncharacterized,YPR078C
MRPL4,YLR439W
KRE29,YER038C
PRP42,YDR235W
RPS18a,YDR450W
LRE1,YCL051W
HMRA1,YCR097W
PET18,YCR020C
YLH47,YPR125W
FSH1,YHR049W
LOH1,YJL038C
PRP4,YPR178W
SYN8,YAL014C
ASI2,YNL159C
DSF2,YBR007C
HAT1,YPL001W
Uncharacterized,YNL319W
IMP4,YNL075W
VTC4,YJL012C
DLS1,YJL065C
VTA1,YLR181C
VPS51,YKR020W
SSK22,YCR073C
Uncharacterized,YPL150W
