"genes","X30.deg","X15.deg","P_Value","Fold_Expression_Change"
"YJL138C",1.00846963427883,73.6408905710387,0.00368549397599614,73.022417401492
"YOR333C",0,0.0737093487784329,0.00851246509530655,10
"YDL039C",5.31623238136867,48.0617169947208,0.00246585040506816,9.04055984519383
"YDL037C",1.41576036761067,12.4119120061457,0.00519476914486938,8.76695822972701
"YGL055W",75.4063367488495,449.446003338206,0.033709843621392,5.96032140952747
"YOR338W",3.79482833002047,22.3972512161074,0.000114258210647694,5.90204596053139
"YGR160W",0.25595758367125,1.37195077044353,0.0172551333463946,5.36007080065912
"YNL112W",80.7637128730649,379.646499994072,0.00415480183406596,4.70070637528461
"YOR204W",52.4327200075108,246.073026050051,0.0299165022033837,4.69311960193562
"YGR159C",54.0731809064831,212.442515183817,0.0024266992404486,3.92879633900632
"YPL061W",149.119015796443,521.174932497683,0.0304118055439191,3.49502663838072
"YDR492W",14.3868984759641,50.0346280265331,0.0224900742456317,3.47779113824463
"YBR034C",35.6513972531168,116.114611836744,0.0130763181622045,3.25694420929302
"YGL138C",0.0349150637870653,0.111347445455633,0.041354397523869,3.18909471667307
"YNL065W",24.4758911653554,76.4618175362832,0.00482464301906317,3.12396459927521
"YGR079W",17.665989876987,54.3085483508755,0.002309970688941,3.07418654312837
"YIL053W",141.560972835993,428.649206033003,0.0376975953520438,3.0280182273798
"YNL024C",3.46808252798363,10.5012376122567,0.00399845927740533,3.02796647067168
"YDR274C",3.55936468773922,10.183722038278,0.0157871527834443,2.86110666697273
"YHR049W",30.6224805802317,85.2645046687423,0.00470649609946722,2.78437615285108
"YML043C",10.5379389654336,26.369510063068,0.0069040785617027,2.50234036746321
"YBL054W",15.9806683082794,39.8814194274673,0.00169699528582275,2.49560397964115
"YDR491C",1.90401747025653,4.73328652721287,0.0150326284295194,2.48594700476942
"YBR238C",8.89993844817689,22.0225082495399,0.00290049132106617,2.47445624234077
"YNL124W",15.0649881858067,37.0547332561669,0.000594198070304914,2.45965896548645
"YNL234W",6.32612662940492,15.5285306110898,0.0148756859983258,2.45466642082543
"YAL059W",12.1014152803057,29.3771872235749,0.00822641401422788,2.42758276970996
"YOR294W",15.0521161554774,36.5074811194111,0.0025138268162191,2.42540522158582
"YMR016C",15.3569940900351,37.1456815826044,0.00244744989670348,2.41881199958966
"YOL080C",5.02374191445045,11.7931031712149,0.0432794483515031,2.34747392920262
"YNL141W",35.3077416858386,82.748260512902,0.00119841059193208,2.34362937310406
"YJL122W",16.3608963317699,37.2215324172388,0.0245378342282245,2.27503014886546
"YPL106C",151.581831304401,343.824672334939,0.00457032105466344,2.26824461333023
"YOL124C",23.9211290265346,53.9947374137675,0.00314836968872411,2.25719853581633
"YAL025C",24.3152830577207,54.2468046990795,0.0248672885764671,2.23097566128702
"YJR009C",274.296823265746,593.262518663259,0.0407864399338752,2.16284866736678
"YKL078W",15.8856930382535,34.0240262551268,0.00050259147531361,2.14180307860635
"YBR267W",14.0171081712252,29.824154400167,0.000941486063870054,2.12769667151396
"YPL043W",24.2122485665728,51.1560700205147,0.0151341152859409,2.11281781119414
"YKL172W",36.2366792639484,76.4046831996669,0.0157157454449792,2.10849020251371
"YDR384C",23.0913668129211,48.5773501784357,0.000478530166332289,2.10370181081068
"YOL059W",41.3426826814638,86.7603023998844,0.00750118491996791,2.09856489160012
"YGR254W",213.969056212152,446.141290416143,0.0128233899428562,2.08507388084093
"YGR245C",41.487992504838,86.4770765756317,0.00116871298591865,2.08438806880201
"YCR087W",13.827205031283,28.7991206494967,0.0491575988395965,2.08278683829023
"YER126C",29.4899888412616,61.350898165607,0.0113808556537891,2.08039746965813
"YKL043W",10.1780176626708,21.1247224991419,0.00799769989086232,2.07552425229321
"YMR318C",56.7301568858356,117.650449357467,0.00973966400233455,2.07386081435008
"YNL175C",18.4978156552104,38.0402937158892,0.0105264107499701,2.0564749062776
"YER043C",188.150795819028,386.564008123448,0.000566952251175942,2.05454357203603
"YCL036W",24.3777927201699,49.9548708674437,0.00190914194396249,2.04919581690067
"YKR024C",21.725839120278,44.2200847678095,0.00799832561425617,2.03536832446376
"YGR211W",43.703561083741,88.7756073539111,0.0159815067247049,2.03131289882321
"YPR112C",44.3365190293612,89.4295432575864,0.00541254162012751,2.01706280094662
"YPL093W",84.9740784861786,171.340038131328,0.000857523348390565,2.01638006770732
"YKR081C",23.2352558509976,46.4803270180141,0.00106049520373575,2.00042243201804
"YMR176W",28.973784842261,14.4763002016421,0.0117480081157676,0.499634420578945
"YBR083W",20.6969168856999,10.3303763779126,1.97002863019898e-05,0.49912634016761
"YIL107C",19.9890061657904,9.9762507727089,0.042262986214458,0.499086882557596
"YOL163W",1.07877258205833,0.538082608234805,0.0341086905675405,0.498791512858185
"YEL005C",7.09204962153551,3.53191312412444,0.000156455142001469,0.498010210391018
"YOR012W",2.3089516882556,1.1483788763006,0.00539287198451906,0.497359421655199
"YPR141C",12.7730890296724,6.35270789915447,0.00931997287371927,0.497350944974773
"YMR144W",11.5002810112377,5.71780623944778,0.00386633784759423,0.49718839338452
"YPR012W",2.49123838961481,1.23801498835458,0.0239420260483613,0.496947619912842
"YCR014C",10.3583052159285,5.14124174360418,0.0170997316388547,0.49634005143025
"YIL013C",15.3168966843955,7.60212752798047,0.0480178771742788,0.496322961799784
"YDR096W",19.4816786825248,9.6640077683136,0.00486657282290043,0.496056213933057
"YGL131C",15.3345263343825,7.60426409116744,0.012206946955204,0.495891684252251
"YDL239C",8.24988452612345,4.0898288200898,0.0104138357529459,0.495743765520507
"YDR480W",10.4790398931917,5.19024776653216,0.000895024476479226,0.495298025337636
"YBR240C",4.20172045301201,2.08053897585099,0.0338455223338131,0.495163588134368
"YJL210W",15.1064806272177,7.47998646494234,0.00350637263239278,0.495150832912431
"YOL159C",7.83007133205808,3.8721575023318,0.00681815005143753,0.494523911484473
"YGR067C",3.6615336632621,1.81055242245596,0.0220808700870446,0.494479250763714
"YDR223W",11.1149655997308,5.49378474942715,0.0427163184574253,0.49426916351052
"YHR153C",2.42502585738361,1.19723738336033,0.0101668956443673,0.493700873215449
"YOR162C",12.3697970422286,6.10690803657816,0.00610252869539984,0.493695087779541
"YPL188W",21.2326580431145,10.4815304664246,0.0116699157323385,0.493651357505079
"YLR247C",37.5976305184146,18.5239548911076,0.0340881124080235,0.492689423128272
"YOL090W",36.563201846466,18.0111777841092,0.00212043711830018,0.492603953552554
"YLR136C",3.94998218834892,1.94540897027014,0.0234485244108424,0.492510820936971
"YGR016W",5.03486501790389,2.47848376015639,0.0124782941105689,0.492264192057373
"YPL203W",19.350763808463,9.51803408990878,0.00473232602990924,0.491868650980386
"YCR106W",9.73942745454861,4.79044981244605,0.0478835089086361,0.491861542662733
"YCL040W",187.245593847355,92.0913098501702,0.0225765004687808,0.491820971366857
"YPR106W",21.1740573602282,10.4129228947009,0.00228990938122039,0.491777400880181
"YFR042W",12.3650495287566,6.07879803739189,0.0028583691547349,0.491611297088202
"YGL197W",33.171906142593,16.2886831317722,0.0377070737115913,0.491038502935392
"YHL044W",5.89375228488026,2.89032831709015,0.0213125795847242,0.490405462833067
"YNL102W",32.0284312994484,15.7042994123284,0.00138727594605694,0.490323714748991
"YLR315W",5.67302218814904,2.78135829484202,0.0312651676996047,0.490278056844601
"YIL132C",3.73515991369514,1.82895515770248,0.000448715171979006,0.489659131057958
"SCER_lnc0514",4.11931902590601,2.01628027618705,0.000496779905535777,0.489469318473965
"YLR456W",7.3310431286894,3.58823905214506,0.00106378421328238,0.489458183393138
"YLR381W",15.9605848276912,7.80609664421985,0.00253629884149154,0.489085878023497
"YDL109C",11.0541023318694,5.40524492665553,0.0134764886342079,0.48898090178449
"YGL015C",1.58288380180578,0.773866219560102,0.0278100384852461,0.488896417208428
"YNL058C",20.0224036583349,9.77951815304949,0.0043138913260023,0.488428778079224
"YIR007W",11.5151854786191,5.62150793948212,0.00724094262266281,0.488182144344952
"YGR295C",22.2226463146001,10.8414044011165,0.0045705558240075,0.487853887770053
"SCER_lnc0138",2.19140803865339,1.06907623575789,0.00549813266290978,0.487849007077127
"YGL059W",16.6455851696385,8.11792265048358,0.0296610661549353,0.487692235974416
"YCR024C",7.69316092543904,3.75020312759822,0.0115497863446921,0.487472336006568
"YBR037C",16.1089165524057,7.84973386604544,8.52731238919128e-05,0.48729123653404
"YGL036W",35.0717890284854,17.0881896712955,0.00872050583794528,0.487234616329849
"YNL222W",12.6003420043734,6.13732004589778,0.00468803595565305,0.487075671737132
"YLR212C",21.8644236539838,10.6482446572644,0.00455822455684787,0.487012364276258
"YOL155C",60.8517840373314,29.6312805079367,0.0141099131688601,0.486941853500277
"YOL048C",17.6037986934801,8.5641462875981,0.000380244419116234,0.486494218476265
"YIL037C",7.21353489463237,3.50919884559271,0.00495826685511188,0.486474231684098
"YJL038C",1.62237608501494,0.789211625894413,0.000707140331102406,0.486454178648193
"YNL270C",4.5769309906968,2.22553601412398,0.0172919528232906,0.486250725354537
"YBL074C",6.76075908653209,3.28383500165801,0.0314925230322316,0.485719866604867
"YJR039W",14.2490480316557,6.92028066284696,0.00680853885231578,0.485666175555929
"YPL081W",111.203055894032,54.0052728041359,0.0044093041973853,0.48564558203867
"YMR232W",3.23198590328239,1.56917551936639,0.0306370247017551,0.485514345150065
"YMR076C",22.036342374561,10.6984035994063,0.00152753738668029,0.485489080608797
"YPL152W",10.5278586172962,5.1069012213058,0.000376194424385934,0.485084517844463
"YLR149C",14.3695656720498,6.96672380337072,0.0274443741165817,0.484824939206178
"YFL040W",3.63041057553879,1.75977663825995,0.00150204612212485,0.484732126475469
"YMR317W",19.7752485881387,9.58153070446316,0.0166034572327625,0.484521378416968
"YNL327W",156.435737541774,75.7493974723293,0.00369722180555513,0.48422054105189
"YJL066C",6.28676078362915,3.03888645186903,0.00779254692663574,0.483378731346411
"YNL082W",18.4260838867541,8.90420993763715,0.000586209606034107,0.483239411714504
"YNL304W",9.83803322336609,4.75159071369592,0.00111609223696178,0.482981771438881
"YEL025C",44.8474984276409,21.6348730455314,0.0114708351138191,0.482409806657068
"YMR163C",16.344132999903,7.86060384386766,0.00332679968229844,0.480943458053989
"YIL097W",10.1301067346332,4.87035661300766,0.0158666334060476,0.480780384707764
"YMR094W",5.74732130553698,2.76200801528923,0.0199983636451444,0.480573099789689
"YIL113W",5.59489799769762,2.68817272461238,0.000129129809143369,0.480468585078513
"YNL336W",5.44394180165805,2.612353591228,0.0371940738464977,0.479864349474192
"YIL029C",4.30259586206921,2.06043243035377,0.0130153898201992,0.478881237375351
"YOR264W",26.3781168656027,12.6231193216557,0.00725152224198715,0.478545128371782
"YIR031C",28.835933525338,13.7924263458614,0.0116787565633252,0.478306912926612
"YJL170C",8.65308961848366,4.1379472895926,0.0272474751935506,0.478204603446338
"YJR036C",6.725422437245,3.21202197059995,0.00141869605221586,0.477594084322787
"YER097W",0.550137929470202,0.262573918704029,0.0167716043374905,0.47728743036659
"YDR504C",2.92186716880099,1.39307081126434,0.0103444207572706,0.476774175821277
"YIL094C",87.4226365776632,41.6508938231783,0.005127429295069,0.476431453610726
"YOL113W",24.0894674456927,11.4642758273342,0.00620644841883975,0.475904079373247
"YPL264C",7.07771222029931,3.36673195100667,0.00438746799559299,0.475680819764143
"YLR047C",15.448375357664,7.34768929761181,0.00116064064831913,0.475628609966846
"YOR049C",11.2799418418006,5.36215523491719,0.0233968543856869,0.475370822839388
"YOR044W",9.77080905708787,4.64405686309693,0.0249620921000419,0.475299111461816
"YLR404W",10.6557567742984,5.06116003403937,0.00030879109435241,0.474969553194649
"YPL016W",17.360268451988,8.24154364766443,0.00102790817185413,0.474735956443154
"YGL193C",8.66157633003108,4.10138220553729,0.00648498059739872,0.47351452544696
"YJL005W",43.4856241862053,20.579215003332,0.00472078835130541,0.473241798604796
"YGR059W",1.32942892200876,0.629082648172692,0.00491188396352916,0.473197654841262
"YGL089C",4.29328861186669,2.03115451267383,0.0136898744020358,0.473099923228944
"YLR046C",8.6700555232507,4.10041829187239,0.0092340479374532,0.472940257519251
"YDR307W",23.2205793175878,10.979527628254,0.000994431370229541,0.472836076916387
"YJL094C",29.516745361206,13.8948094523008,0.0361018183032517,0.470743277494368
"YPL241C",14.9575021746355,7.03950074809369,0.00267496213461413,0.470633443064516
"YEL071W",253.393643572618,118.749193109664,0.0326475287816961,0.468635248443526
"YLR252W",6.07634305567792,2.84723923990573,0.00984843758731723,0.46857776360161
"YDR402C",1.15891337041117,0.54286011675635,0.0175276428151534,0.468421653090212
"YLR279W",1.78707047478089,0.836727779040067,0.0274832018099444,0.468211965251486
"YKL035W",134.913084728051,63.1539835059513,0.031742019560817,0.468108661463438
"YPL253C",15.8151965964219,7.40305192652145,0.000863171643850049,0.468097369601864
"YBR280C",11.6712594086816,5.4613789617604,0.00577578505718614,0.467933988143386
"YBL075C",18.6860181738925,8.74345063586942,0.0168289587744635,0.467914060368703
"YDR080W",22.5227640203289,10.5316829748475,0.00951401477672467,0.467601710222674
"YGL183C",0.633509592791151,0.29610859339928,0.0453383639743857,0.467409802106814
"YML054C",13.0009602687595,6.0728642487069,0.00877910933649514,0.467108899894081
"YBR070C",15.1073881110853,7.04729593950835,0.00209396065871583,0.466480101503269
"YKR058W",17.807955030444,8.30393985646197,0.00324393574160642,0.466305077829868
"YMR055C",12.3302701888562,5.74896822196393,0.025174042501469,0.466248357409046
"YGR149W",22.172701534195,10.3300427882937,0.00211173842167259,0.465890129462239
"YLR112W",3.73926776180604,1.73962051110403,0.0205219055223037,0.465230259483692
"YGR131W",2.5323308248835,1.17743750792984,0.00249697090397279,0.464961961667867
"YGR110W",8.39166891088044,3.88733320427411,0.00138113913503615,0.463237199364942
"YNL037C",51.212759392618,23.7092262079295,0.000644940483368384,0.462955452686407
"YOR226C",10.716615362182,4.96024811077905,0.00641611299720203,0.462855849831406
"YBR161W",19.3824305374867,8.96783831325507,3.98760098594345e-05,0.462678728341669
"YCR020C",6.58029984342254,3.04244816292884,0.007812019292978,0.462357071155348
"YJR061W",19.5885655234141,9.04074181443037,0.00776028990456,0.461531591153218
"YBR117C",7.25916327898155,3.34580962226672,0.0208860702159928,0.460908439951241
"YJL106W",6.82175049982817,3.14324346537642,0.0125450850096968,0.460767872623837
"YPL144W",15.2022432343049,7.002876761294,0.00064081773814359,0.460647593474332
"YDR173C",10.1458203332809,4.66615657238736,0.000112618170976717,0.459909245295934
"YJR127C",48.8234097468666,22.4496703460903,0.000322544275328445,0.459813652149338
"YLR438W",12.6831019998086,5.82401410549133,0.0256573061013429,0.459194769984442
"YPL116W",25.9583786394276,11.9148979181672,5.1800888758918e-05,0.459000081772054
"YBR138C",17.1377962488077,7.85934428391234,0.020350274109234,0.458597136400144
"YDR387C",23.394200900132,10.703600852455,3.59913263017255e-06,0.457532227672483
"YER145C",68.0835605990927,31.1465095577923,0.0115578151398283,0.457474745499832
"YOR084W",18.8852331266725,8.63072119048061,0.00921310884226174,0.457008983293462
"YHR215W",1.66676462362078,0.758712091587624,0.00531874072135057,0.455200500919826
"SCER_lnc1810",7.95443950393918,3.61550052937133,0.00528917828551495,0.454526120612379
"YPR003C",16.0785359144067,7.30650633281623,0.0152898059932987,0.45442609773129
"YJL201W",22.8782368825448,10.3813224810545,0.00894937783425285,0.453764096173645
"YPL247C",26.1020333963167,11.8351066502816,0.000423735721636901,0.453417037308353
"YOR193W",13.4753807075825,6.10956000568904,0.00931099348230114,0.453386819880438
"YDL146W",14.3948732079048,6.50031664596533,1.04716355339719e-06,0.451571649995204
"YHL040C",26.4184856717926,11.9289611024396,0.0152950156154932,0.451538413315504
"YNL273W",19.1095270678859,8.61895906917594,0.00338315354845411,0.451029428334746
"YLR318W",15.9855825466587,7.20371157382753,0.0104639076934484,0.450638039170693
"YIR027C",4.85232479390586,2.18215588070642,0.0207550881921917,0.449713482380041
"YER119C",25.9007372779394,11.6370491342034,0.000796865552426314,0.449294126623766
"YBR156C",10.1044883862744,4.53449554826796,0.0399341253625224,0.448760528482319
"YDL206W",16.231561583688,7.27975978793108,0.00115371758122493,0.448494111327336
"YOR195W",13.5560473790957,6.07897952108525,0.0187027305988294,0.448433038856107
"YJR059W",38.3644580487155,17.2029058467585,5.39438836448941e-05,0.448407372910471
"YOL085C",1.04041177749848,0.466411273879874,0.0339600019467712,0.448294880899265
"YDL248W",4.02446628135615,1.80308500149507,0.0322783765549791,0.448030838237629
"YIL077C",16.5229675725103,7.40133051780428,0.00954217081518118,0.44794196232147
"YLL005C",12.4124637486808,5.54901500271934,0.0211578969346419,0.447051859733253
"YML066C",4.86486207369452,2.16832253267818,0.00614543376101097,0.445710998550775
"YJL163C",12.6027115105116,5.61706572327009,0.00405478144191156,0.445702951986566
"YAL002W",23.5954907880066,10.4967849868223,0.000617588038428498,0.44486402428034
"YDR179C",3.88031316572344,1.72442905435701,0.0274894519627138,0.444404608779949
"YEL017W",22.5815694071988,10.0231955045529,0.000269619743158866,0.443866204505591
"YJR092W",62.4181965948976,27.6964241542574,0.022183565019663,0.443723556033041
"YGL109W",1.99127866698955,0.882972733900173,0.003099047438196,0.44341997357661
"YJL141C",40.229335161132,17.8244995000004,4.23189665813481e-05,0.443072186716666
"YDR034C",39.1597719291131,17.3226520290937,0.0100483505760402,0.44235834826748
"YIL045W",10.0035433772105,4.42207400205372,0.00827032856921568,0.442050764944733
"YBR054W",111.653823281908,49.251107434972,0.0116984005724307,0.44110542735846
"YDR270W",9.01221312291334,3.96761139681195,0.0111518608917503,0.440248287817827
"YLR258W",94.073742820304,41.3752992148117,0.00260070381044049,0.43981772144269
"YDL021W",9.7966910671628,4.30783420104947,0.0166740666869083,0.439723389409385
"YBR128C",5.52613398291804,2.42480459663545,0.0152316330922336,0.438788600517255
"YJL056C",21.9168613157214,9.60770691618339,0.0483501303907726,0.438370566742218
"YIL017C",26.7700155251843,11.7189495721411,0.0065331023269458,0.437764018519762
"YPL250C",10.6874372660072,4.67471905352276,0.0378779622985673,0.437403180684982
"YHR210C",5.30419396352049,2.32002017577411,0.0429036523832032,0.43739354023062
"YIL087C",6.69874934625263,2.92845915758472,0.00200299684413966,0.437165059657433
"YBR214W",30.6877144853056,13.4013682401295,0.000127504460229142,0.436701411783095
"YOL083W",8.93775285044781,3.90274503520854,0.0336308889895907,0.436658419684653
